,评论,断句,方面词,情感词
8502,给初生宝宝穿的肯定要纯棉才可以,0,纯棉,可以
8503,图案很可爱哦,0,图案,可爱
8504,不知道大小是否合适,0,大小,合适
8505,质量就是好,1,质量,好
8506,好满意的一次购物,1,购物,满意
8507,以前用过童泰的感觉不错,1,感觉,不错
8508,包装看着也不错,1,包装,不错
8509,买了好多童泰的衣服,1,衣服,好
8510,质量几乎都不错,0,质量,不错
8511,五金材料都很好,0,材料,好
8512,大品牌值得购买,0,购买,值得
8513,29块这么好的衣服,0,衣服,好
8514,衣服不错的奥,1,衣服,不错
8515,东西不错～,0,东西,不错
8516,一直很喜欢最近有活动价格很好,0,价格,好
8517,物美价廉一次非常满意的购物,0,购物,满意
8518,衣服实在太好了,0,衣服,好
8519,质量还是挺不错的,0,质量,不错
8520,童泰的衣服买了好几件了,0,衣服,好
8521,新生儿穿这种衣服最舒服啦,0,衣服,舒服
8522,手感也炒鸡好,0,手感,好
8523,总体还挺好,0,总体,好
8524,手感非常好哦,0,手感,好
8525,关键性价比杠杠的,1,性价比,杠杠的
8526,大小也是刚刚好,0,大小,好
8527,"童
泰的衣服真心不错",1,衣服,不错
8528,童泰的衣服我都很喜欢,0,衣服,喜欢
8529,很棒的婴儿衣服,1,衣服,很棒
8530,纯棉轻薄好洗好干,0,纯棉,好
8531,已经把衣服都洗好了,0,衣服,好
8532,质量很柔软很舒服,0,质量,柔软
8533,就是我家宝宝超级喜欢拽衣服,1,衣服,喜欢
8534,款式挺不错的,1,款式,不错
8535,希望大小合适,1,大小,合适
8536,面料摸起来很舒服呢,1,面料,舒服
8537,活动价格实惠,0,价格,实惠
8538,好多人推荐童泰的衣服,1,衣服,好
8539,款式图案都满意,1,款式,满意
8540,宝贝穿着很合适,0,宝贝,合适
8541,质量也是超级不错的,0,质量,不错
8542,物流服务也不错,0,服务,不错
8543,好多同事都要衣服的链接,0,衣服,好
8544,质量绝对没问题,0,质量,没问题
8545,绿色小恐龙最好看,0,绿色,好看
8546,童泰的东西性价比真高,0,性价比,高
8547,孩子也穿了没什么不舒服的感觉,0,感觉,不舒服
8548,衣服摸上去很柔软,0,衣服,柔软
8549,但很快送的衣服穿不了了,1,衣服,穿不了
8550,独立包装,1,包装,独立
8551,东西看着不错,0,东西,不错
8552,快递员态度好给赞,1,态度,好
8553,很满意的婴儿衣服,1,衣服,满意
8554, 质量好,1,质量,好
8555,可是感觉好小（因为是二胎,1,感觉,好
8556,摸着手感很不错,0,手感,不错
8557,款式我也比较喜欢,0,款式,喜欢
8558,这个牌子的衣服确实不错,1,衣服,不错
8559,宝宝也终于有自己合身的衣服穿了,1,衣服,合身
8560,包装也好看,1,包装,好看
8561,包装也非常仔细,1,包装,仔细
8562,衣服摸着挺舒服的,1,衣服,舒服
8563,真的非常值得购买,1,购买,值得
8564,大品牌质量有保证,1,质量,保证
8565,"袖口翻过来可以遮住手的设计很不错～
这样就不要担心宝宝抓脸啦",1,设计,不错
8566,衣服很棒哦,1,衣服,很棒
8567,质量都很不错～,0,质量,不错
8568,已经回购了好几套婴儿衣服了,0,衣服,好
8569,手感不错 ,1,手感,不错
8570,一直很喜欢童泰家的衣服,1,衣服,喜欢
8571,希望我即将来到的宝贝会喜欢,1,宝贝,喜欢
8572,这个图案很漂亮啊,1,图案,漂亮
8573,童泰的衣服真心不错?,0,衣服,不错
8574,衣服贴身穿,0,衣服,贴身
8575,上面的小图案也很可爱,1,图案,可爱
8576,摸上去手感很舒服,1,手感,舒服
8577,这一款价格很不错,0,价格,不错
8578,我很喜欢这个款式,0,款式,喜欢
8579,童泰家衣服值得购买,1,购买,值得
8580,就要穿这种纯棉的的才好,1,纯棉,好
8581,颜色男女通用合适,1,颜色,合适
8582,质量摸起来也不错,1,质量,不错
8583,物流速度特别给力,0,物流,给力
8584,质量摸着很不错,0,质量,不错
8585,纯棉的看着很好,1,纯棉,好
8586,很凉快的衣服,1,衣服,凉快
8587,6.18买的感觉很合适,1,感觉,合适
8588,摸起来手感好好,0,手感,好
8589,其他总体来说很不错,0,总体,不错
8590,先不说衣服好不好,0,衣服,不好
8591,宝宝的衣服好可爱呀,0,衣服,好
8592,颜色和质量都很不错,0,颜色和质量,不错
8593,而且包装还很好看,0,包装,好看
8594,看到宝宝的衣服都觉得好可爱,1,衣服,好
8595,这个衣服很舒服啊,0,衣服,舒服
8596,简单说说就是质量好,0,质量,好
8597,因为价格便宜,0,价格,便宜
8598,童泰衣服性价比高,0,衣服性价比,高
8599,漂亮而且面料也相当好,0,面料,好
8600,总之衣服还不错,0,衣服,不错
8601,衣服质量真的没得说,0,衣服质量,没得说
8602,价格比超市便宜,0,价格,便宜
8603,衣服已经洗好晒上了,0,衣服,好
8604,宝宝的衣服看着不错哦,0,衣服,不错
8605,纯棉宝宝穿着舒服,0,纯棉,舒服
8606,童泰的衣服还是很不错的,1,衣服,不错
8607,买了好多衣服,1,衣服,好
8608,性价比超高～,1,性价比,高
8609,这件衣服抹着特别柔软,0,衣服,柔软
8610,宝贝们穿着正合适,0,宝贝,合适
8611,建议点开看~~~东西很好的,0,东西,好
8612,用起来很流畅非常值得推荐手机是正品质量非常好,0,质量,好
8613,希望更多的朋友信赖.店主态度特好,0,态度,好
8614,价格便宜……,0,价格,便宜
8615,童泰的质量很不错,0,质量,不错
8616,男孩女孩都合适的颜色,1,颜色,合适
8617,这件衣服真的不错,1,衣服,不错
8618,比这贵质量也一般,1,质量,一般
8619,衣服性价比超高,1,衣服性价比,高
8620,而且包装非常好,1,包装,好
8621,穿的大小很合适,1,大小,合适
8622,棉质的产品大小合适,0,大小,合适
8623,童泰的衣服质量有保障,0,衣服质量,保障
8624,手感也特别舒服,0,手感,舒服
8625,关键价格还实惠,0,价格,实惠
8626,重点价格还便宜,0,价格,便宜
8627,东西很很不错,0,东西,不错
8628,上身以后特别舒服,1,上身,舒服
8629,衣服非常的柔软,1,衣服,柔软
8630,童泰品牌衣服不错,0,衣服,不错
8631,童泰的童装的质量非常好,0,质量,好
8632,面料非常好是童泰的,1,面料,好
8633,包装的也特别好,1,包装,好
8634,最好买带手套那种衣服,0,衣服,好
8635,产品是很好的,0,产品,好
8636,不知道是属于划算还是价格偏高,0,价格,划算
8637,包裹包装很好,0,包装,好
8638,特别喜欢他家的衣服,0,衣服,喜欢
8639,夏天穿透气性很好,1,透气,好
8640,材质又好,1,材质,好
8641,童泰的质量没问题,0,质量,没问题
8642,童泰的婴儿衣服真的特别好,0,衣服,好
8643,也不知道大小合适不,0,大小,合适
8644,纯棉柔软,0,纯棉,柔软
8645,物流不给力,0,物流,不给力
8646,衣服特别柔软,0,衣服,柔软
8647,一次买了2件 衣服很合身 宝宝穿起来很可爱,1,衣服,合身
8648,价格特别便宜,1,价格,便宜
8649,面料不厚不薄,1,面料,不薄
8650,裤子质量非常不错,1,质量,不错
8651,品牌做工很棒,0,做工,很棒
8652,实物与图片没有色差,1,色差,没有
8653,其它几件尺码都合适,0,尺码,合适
8654,和专柜里那些好几百的质量不相上下,0,质量,好
8655,"
裤子的尺码建议按孩子身高买最合适",0,尺码,合适
8656,初冬的衣服挺好的,0,衣服,好
8657,物美价廉性价比非常高,1,性价比,高
8658,裤子收到后面料同样好,1,面料,好
8659,裤子面料很舒服,0,面料,舒服
8660,裤子尺码合适,1,尺码,合适
8661,质量超好超舒适,1,质量,好
8662,这次买的衣服穿着很合适,0,衣服,合适
8663,态度非常好,0,态度,好
8664,物美价格实惠,0,价格,实惠
8665,喜欢铅笔家的宝贝,1,宝贝,喜欢
8666,实物没有色差,0,色差,没有
8667,这个品牌质量非常好,1,质量,好
8668,很喜欢他们家的衣服裤子,1,衣服,喜欢
8669,颜色也特别喜欢,1,颜色,喜欢
8670,这个颜色很鲜艳,0,颜色,鲜艳
8671,价格超便宜,0,价格,便宜
8672,裤型很好,1,裤型,好
8673,铅笔俱乐部的裤子材料非常好,1,材料,好
8674,没有味道也没有色差,1,色差,没有
8675,做工售后和客服人员都非常满意,0,做工,满意
8676,这很值得购买的,1,购买,值得
8677,趁活动价格优惠,0,价格,优惠
8678,手感摸起来很好,1,手感,好
8679,价格非常非常便宜,0,价格,便宜
8680,超级好的宝贝,0,宝贝,好
8681,特别喜欢他家衣服,1,衣服,喜欢
8682,个人感觉宝蓝的比浅灰的摸起来更舒服,1,感觉,舒服
8683,款式喜欢的赶紧下手,1,款式,喜欢
8684,面料也非常的好,1,面料,好
8685,而且物流也挺给力的,1,物流,给力
8686,裤子质量也好,0,质量,好
8687,这个价格这个质量真是太划算了,0,价格,划算
8688,有时赶上活动性价比就相当高了,0,性价比,高
8689,质量好棒好棒好棒好棒好棒好棒,0,质量,好
8690,价格实惠.这个粉色很鲜艳,1,价格,实惠
8691,如果颜色多一点就更好了,0,颜色,好
8692,价格特别实惠,0,价格,实惠
8693,宝贝120刚好,0,宝贝,好
8694,纯棉的很柔软,1,纯棉,柔软
8695,衣服手感和颜色都很满意,1,衣服,满意
8696,这是我最满意一次购物,1,购物,满意
8697,大品牌质量保证,1,质量,保证
8698,铅笔的衣服很不错,0,衣服,不错
8699,穿着长短合适,0,长短,合适
8700,手感细腻,0,手感,细腻
8701,不过布料很好,1,布料,好
8702,铅笔质量一如既往的好,1,质量,好
8703,非常好啊尺码很足,1,尺码,好
8704,布的质量也好,0,质量,好
8705,面料柔和,1,面料,柔和
8706,很喜欢铅笔俱乐部的衣服,1,衣服,喜欢
8707,质量比**有保证,1,质量,保证
8708,适逢搞活动值得购买,0,购买,值得
8709,是纯棉的质量很满意,0,质量,满意
8710,价格也非常的便宜,1,价格,便宜
8711,活动价格便宜,1,价格,便宜
8712,重点是活动价格很划算,0,价格,划算
8713,质量也很不错了,0,质量,不错
8714,嗯料子不错,0,料子,不错
8715,裤子质量没得说,1,质量,没得说
8716,宝贝很喜欢这个裤子,0,宝贝,喜欢
8717,秋天穿的春天穿的没有加棉的纯棉很舒服,1,纯棉,舒服
8718,用上卷之后价格很优惠了,1,价格,优惠
8719,用上卷的价格也很优惠了,1,价格,优惠
8720,快递员态度特别好,1,态度,好
8721,摸起来质量真的很不错,1,质量,不错
8722,就是印花不怎么好看,1,印花,好看
8723,手感蛮好,0,手感,好
8724,质量特别好的小裤子,1,质量,好
8725,购买的亲建议买小一码,1,建议,购买
8726,这裤子性价比高,1,性价比,高
8727,裤型好,0,裤型,好
8728,布料很细密舒适,1,布料,舒适
8729,提供更好商品和服务,1,服务,好
8730,它的布料非常好,1,布料,好
8731,卖家态度也好?,1,态度,好
8732,这次衣服买的还是很满意的,0,衣服,满意
8733,质量也好……,0,质量,好
8734,铅笔俱乐部的裤子比较好裤子的布料非常好,0,布料,好
8735,感谢快递员周到的服务,0,服务,周到
8736,非常喜欢这种材质,0,材质,喜欢
8737,质量好、外形美、送达快,1,质量,好
8738,价格超实惠,1,价格,实惠
8739,买铅笔的衣服好几年了,1,衣服,好
8740,尺码挺合适,1,尺码,合适
8741,是个不错的购物经历,1,购物,不错
8742,比预期的质量还要好,0,质量,好
8743,质量也有保证,0,质量,保证
8744,会员客服也态度很好,0,态度,好
8745,性价比也可以,0,性价比,可以
8746,打开一看质量没得说,1,质量,没得说
8747,大家都说质量好,1,质量,好
8748,裤子质量相当好,1,质量,好
8749,搞活动价格很优惠,0,价格,优惠
8750,看到此评价说明东西好没问题哈,0,东西,好
8751,买合适的码数就可以,0,码数,合适
8752,谁叫它质量好还便宜呢,0,质量,好
8753,试穿了大小刚好,0,大小,好
8754,这个衣服不错的,0,衣服,不错
8755,因为质量不错,0,质量,不错
8756,铅笔的衣服不错,1,衣服,不错
8757,这衣服太好了,1,衣服,好
8758,大小做工都合适,1,大小,合适
8759,这东西挺好的,1,东西,好
8760,全棉手感不错,1,手感,不错
8761,只要价格实惠,1,价格,实惠
8762,上身很舒服弹性很大,1,上身,舒服
8763,价钱不贵划算,1,价钱,划算
8764,看着质量很棒,1,质量,很棒
8765,样子好看的,1,样子,好看
8766,喜欢裤子很好纯棉的,1,纯棉,好
8767,衣服不错很适合春天穿,1,衣服,不错
8768,活动期间价格也实惠,0,价格,实惠
8769,裤子质量超级好,0,质量,好
8770,裤子品质不错,0,品质,不错
8771,送货快包装好,0,包装,好
8772,面料摸着也不错,0,面料,不错
8773,而且配送员态度也非常好,1,态度,好
8774,很喜欢建议购买,0,建议,购买
8775,东西蛮好的,1,东西,好
8776,但是到货后质量不错,1,质量,不错
8777,颜色、款式都很满意,0,款式,满意
8778,买得多价格也划算,0,价格,划算
8779,铅笔俱乐部的这款裤子质量非常好,1,质量,好
8780,嗯颜色也比较好,1,颜色,好
8781,非常喜欢铅笔家的衣服,0,衣服,喜欢
8782,铅笔俱乐部的衣服一直很喜欢,0,衣服,喜欢
8783,质量比我想象的好,0,质量,好
8784,孩子也很喜欢穿铅笔俱乐部的衣服,0,衣服,喜欢
8785,质量没有专卖店的好,1,质量,好
8786,裤型好看,1,裤型,好看
8787,此为好评模板：终于收到我需要的宝贝了,0,宝贝,好
8788,本次购物很让我满意,1,购物,满意
8789,这价格能买到这种裤子真的很划算,1,价格,划算
8790,用券后价格很实惠,1,价格,实惠
8791,价格便宜适中,0,价格,便宜
8792,愉快购物,0,购物,愉快
8793,纯棉的很好看,1,纯棉,好看
8794,在铅笔家买了好多衣服了,1,衣服,好
8795,做工质地都不错,1,做工,不错
8796,质量非常好了,1,质量,好
8797,大小穿着刚好,1,大小,好
8798,价格非常实惠呢,1,价格,实惠
8799,我儿子很喜欢你们家的衣服,1,衣服,喜欢
8800,修身有型  大小合适 很满意,1,大小,合适
8801,价格也是相当实惠,1,价格,实惠
8802,但质量很不错,1,质量,不错
8803,质量也很赞,1,质量,很赞
8804,宝贝真不错啊?,0,宝贝,不错
8805,性价比不错下次有活动还会再买,1,性价比,不错
8806,裤子价格优惠,1,价格,优惠
8807,按商家介绍的选尺寸就好,0,尺寸,好
8808,快递师傅态度很好,0,态度,好
8809,性价比高?,1,性价比,高
8810,非常满意的购物体验,1,购物,满意
8811,质量都有保证,0,质量,保证
8812,愉快的购物体验,0,购物,愉快
8813,服务周到热情,0,服务,周到
8814,价格太好了,1,价格,好
8815,物流和服务都很好,1,服务,好
8816,关键是价格比实体店便宜,0,价格,便宜
8817,大小也非常合适,0,大小,合适
8818,没失望裤子质量好,0,质量,好
8819,纯棉料的卫裤最好穿,0,纯棉,好
8820,所以给宝宝都要买舒服的纯棉料,1,纯棉,舒服
8821,选择品牌有质量保障的,1,质量,保障
8822,摸起来感觉很好,1,感觉,好
8823,裤子质量真心不错,1,质量,不错
8824,这款裤子布料挺厚实的摸着也很舒服,1,布料,舒服
8825,买了一次不合适换的客服服务很好、很到位,1,服务,好
8826,黑色的裤子比较好搭配上衣,0,黑色,好
8827,发现这个品牌的衣服真的还很不错,1,衣服,不错
8828,又要给他囤好多衣服,1,衣服,好
8829,码数也10分合适,1,码数,合适
8830,非常满意质量,1,质量,满意
8831,搞活动价格很便宜,1,价格,便宜
8832,值得推荐大家购买,0,购买,值得
8833,衣服没什么异味,0,衣服,异味
8834,条纹的设计很好看,0,设计,好看
8835,嫂子夸裤子的质量不错,0,质量,不错
8836,家里新衣服好多,1,衣服,好
8837,价格便宜就囤点,1,价格,便宜
8838,价格还十分实惠,1,价格,实惠
8839,下次做活动我还要给宝宝穿好多衣服,0,衣服,好
8840,这样合适的价格就不退了,0,价格,合适
8841,一直以来都很喜欢他们家的衣服,0,衣服,喜欢
8842,宝宝很喜欢这个图案,1,图案,喜欢
8843,商家服务也不错,1,服务,不错
8844,这个牌子的衣服裤子我还是挺喜欢的,1,衣服,喜欢
8845,设计非常好看,1,设计,好看
8846,薄一点的那种秋衣和一个短袖都挺好的,1,短袖,好
8847,质量很棒的裤子,1,质量,很棒
8848,但是面料很好,1,面料,好
8849,他家质量不错,1,质量,不错
8850,但是手感也很不错,1,手感,不错
8851,根据客服推荐的尺码穿上很合适,0,尺码,合适
8852,经典泰迪家的宝宝衣服真的很不错,0,衣服,不错
8853,孩子衣服主要是舒服,0,衣服,舒服
8854,这款式是我喜欢的,1,款式,喜欢
8855,裤子码数非常标准,1,码数,标准
8856,性价比太高,0,性价比,高
8857,图案挺好看的,0,图案,好看
8858,码数也挺标准的,0,码数,标准
8859,这个价格很便宜,1,价格,便宜
8860,但是整体很满意,1,整体,满意
8861,这家的衣服都不错,1,衣服,不错
8862,感觉很好喝,1,感觉,好
8863,服务也特别特别好,0,服务,好
8864,很喜欢这家店的衣服,1,衣服,喜欢
8865,这个秋天的衣服都囤好了,0,衣服,好
8866,等天气再凉快一点就来囤冬天的衣服了,1,衣服,凉快
8867,希望宝贝如愿好用,1,宝贝,好
8868,用券价格也很美丽,1,价格,美丽
8869,物美价廉 质量可以,1,质量,可以
8870,鞋型很好看,1,鞋型,好看
8871,不过颜色款式都很满意,1,款式,满意
8872,裤子的质量太好了,1,质量,好
8873,已经在他们家买了好多衣服了,0,衣服,好
8874,而且价格美丽,0,价格,美丽
8875,给宝贝穿刚好,1,宝贝,好
8876,这家衣服比裤子设计好一点,1,衣服,好
8877,很好搭的颜色,1,颜色,好
8878,质量都特别好,1,质量,好
8879,尺码齐全合适,0,尺码,合适
8880,几乎每次购物都是超级满意的,0,购物,满意
8881,我没想到质量这么好,1,质量,好
8882,质量好很多,1,质量,好
8883,一口气买了好几条裤子   码数合适  宝宝穿着很帅气  粑粑再也不用担心我没有裤子穿了,0,码数,合适
8884,收脚那里橡皮筋设计很不错,0,设计,不错
8885,真的很喜欢完全超出期望值,0,期望值,超出
8886,这裤子质量真好啊,0,质量,好
8887,比旁边黑色好多了,0,黑色,好
8888,服务还这么好,0,服务,好
8889,花色图案非常好看,1,图案,好看
8890,质量好好啊,0,质量,好
8891,小裤子做工很精致,0,做工,精致
8892,衣服买了好多,0,衣服,好
8893,衣服真的都很喜欢,0,衣服,喜欢
8894,价格真便宜,1,价格,便宜
8895,蓝色实物要比照片好看很多,1,实物,好看
8896,料子厚度适中这个时候穿或再晚点穿都可以,1,料子,可以
8897,物流也很给力还是在这里买东西有保障,1,物流,给力
8898,喜欢这个店铺的衣服,1,衣服,喜欢
8899,质量好好的,1,质量,好
8900,裤子材质很不错 99三件太划算了 会多多购买的,0,材质,不错
8901,有的价格真的很不错,0,价格,不错
8902,关键自营的质量也有保障,0,质量,保障
8903,总之感觉很好,0,感觉,好
8904,做活动价格更是合适,1,价格,合适
8905,是最满意的一次购物体验,0,购物,满意
8906,质量都比较好,0,质量,好
8907,这个价位买到手很不错了,0,价位,不错
8908,而且又加上有品牌质量真的很不错,1,质量,不错
8909,摸着布料很好,1,布料,好
8910,裤腰弹性正好,1,弹性,好
8911,裤子质量没话说,1,质量,没话说
8912,厚度适中刚刚好,1,厚度,刚好
8913,客服态度极好,1,客服态度,好
8914,性价比不是一般的高,0,性价比,高
8915,裤子性价比高,0,性价比,高
8916,质量好赞,0,质量,好
8917,裤子摸起来手感很好,1,手感,好
8918,质量非常不错哈,0,质量,不错
8919,裤子的面料很好,0,面料,好
8920,宝宝穿着大小正好,1,大小,好
8921,这个牌子的衣服裤子买了好多了,1,衣服,好
8922,裤子码子正好,1,码子,好
8923,活动时价钱很划算,0,价钱,划算
8924,真的性价比超高,0,性价比,高
8925,东西很好很有保证,0,东西,好
8926,大小很合适哦,1,大小,合适
8927,质量都很不错,1,质量,不错
8928,裤子的面料很舒服,0,面料,舒服
8929,那个感觉不错,0,感觉,不错
8930,给宝贝开学备了好几条裤子,0,宝贝,好
8931,价格优惠呢,0,价格,优惠
8932,空洞的服务做的真的还不错,0,服务,不错
8933,三件80元   还是品牌的  简直不能再划算了   而且质量特别好    我会再来的   哈哈哈哈哈哈哈哈哈哈,0,质量,好
8934,裤子小孩子穿着码数很合适的,0,码数,合适
8935,针线做工也好,0,做工,好
8936,衣服都很不错,0,衣服,不错
8937,裤子手感很好,0,手感,好
8938,质量真的没的说,1,质量,没的说
8939,很优惠的价格,1,价格,优惠
8940,只想说明这个东西很好,0,东西,好
8941,大小穿上正好,0,大小,好
8942,价格也好,0,价格,好
8943,裤子质量特别好,1,质量,好
8944,质感很不错,0,质感,不错
8945,衣服也不好找,0,衣服,不好
8946,活动价入手价格划算,0,价格,划算
8947,裤子质量真心好,0,质量,好
8948,质量颜色都很不错哈,0,质量,不错
8949,尺码很合适明年春天都能穿的,0,尺码,合适
8950,厚薄春季穿着正好,0,厚薄,好
8951,活动期间购买的商品价格很美丽,0,商品价格,美丽
8952,质量真的很不错啊,1,质量,不错
8953,宝贝穿着也合适,1,宝贝,合适
8954,99三件超值 质量好 便宜 合身,1,质量,好
8955,并多些物美价廉的好产品,1,产品,好
8956,十几块买这么好的东西,0,东西,好
8957,好多东西都可以在上面领优惠券,0,东西,好
8958,比黑色白边的要好,0,黑色,好
8959,和图片上一样没有色差,1,色差,没有
8960,这样的价能买到这东西非常不错,1,东西,不错
8961,配送服务很好,1,服务,好
8962,物品不错,1,物品,不错
8963,这个价格非常合适,1,价格,合适
8964,搞活动时价格很实惠,1,价格,实惠
8965,主要是价格很合适,0,价格,合适
8966,价格合适就开始囤货了,0,价格,合适
8967,性价比偏高,0,性价比,高
8968,配衣服好配,0,衣服,好
8969,"购物
东西满意",1,购物,满意
8970,是全棉的舒服?,1,全棉,舒服
8971,裤子质量真的不错,1,质量,不错
8972,裤子质量超好,0,质量,好
8973,裤子穿着很舒服大小合适,1,大小,合适
8974,很不错的东西,1,东西,不错
8975,裤子质量可以,0,质量,可以
8976,首先东西很好,0,东西,好
8977,很喜欢这家的衣服,0,衣服,喜欢
8978,精典泰迪Classic Teddy儿童衣服很漂亮,1,衣服,漂亮
8979,关键价格实惠,1,价格,实惠
8980,这家的衣服很不错,1,衣服,不错
8981,小黄服务超级好,1,服务,好
8982,送货员态度也很好,0,态度,好
8983,买给宝宝的 活动价不错 质量也不错 很轻薄 适合夏天穿,0,质量,不错
8984,衣服的款式很棒,1,衣服,很棒
8985,这家的东西很不错,1,东西,不错
8986,质量还算不错,1,质量,不错
8987,经典泰迪棉质摸着舒服,0,棉质,舒服
8988,而且活动价格很实惠,0,价格,实惠
8989,这个牌子衣服很不错,0,衣服,不错
8990,裤子很棒  大小刚刚好 摸着很舒服,0,大小,好
8991,总体来说是一次愉快的购物呀,1,购物,愉快
8992,"穿上很干净哦

价格很合适
穿上很可爱",1,价格,合适
8993,最主要性价比不错,1,性价比,不错
8994,很实惠的价格,0,价格,实惠
8995,做工用料都很棒的哦,0,做工,很棒
8996,趁活动给孩纸买了好多衣服,1,衣服,好
8997,质量挺不错的呀,1,质量,不错
8998,这家衣服很漂亮,1,衣服,漂亮
8999,小宝宝穿上很好看的 性价比很很好的,1,性价比,好看
9000,价格也非常便宜,1,价格,便宜
9001,价格又非常优惠哟,1,价格,优惠
9002,很好的产品,1,产品,好
9003,很好产品啊,1,产品,好
9004,完美的购物,0,购物,完美
9005,穿着很舒服的衣服,0,衣服,舒服
9006,价格非常优惠,0,价格,优惠
9007,质量还可以买了两条,0,质量,可以
9008,很好   有活动期间购买  便宜实惠,0,实惠,便宜
9009,但收到货质量还是很不错的,1,质量,不错
9010,质量好很,1,质量,好
9011,东西也很不错,1,东西,不错
9012,大小合适 很帅气的 不错,1,大小,合适
9013,小手感舒适,1,手感,舒适
9014,精典泰迪家的童装质量还可以,0,质量,可以
9015,价格也很实惠啊,1,价格,实惠
9016,质量还很不错,0,质量,不错
9017,裤子质量还是不错的,0,质量,不错
9018,衣服洗后也不缩水,0,衣服,不缩水
9019,他家衣服很舒服,1,衣服,舒服
9020,但是摸着手感很好,0,手感,好
9021,价格挺合适的,1,价格,合适
9022,这是我买宝宝衣服买的最满意的一次了,1,衣服,满意
9023,经典泰迪的衣服很让人满意,1,衣服,满意
9024,搞活动的价格非常实惠,1,价格,实惠
9025,"
快递也很快～整体很满意",0,整体,满意
9026,特意给她买这种鲜艳颜色的衣服给她穿,0,颜色,鲜艳
9027,现有款式里面喜欢的都买了,0,款式,喜欢
9028,至少摸起来手感是很舒服的,1,手感,舒服
9029,图案设计风格特别可爱,1,图案,可爱
9030,宝宝喜欢小熊图案,1,图案,喜欢
9031,这个印花挺好看的,1,印花,好看
9032,质量确实是很不错的,1,质量,不错
9033,重在质量好,1,质量,好
9034,手感摸起来真的舒服的,1,手感,舒服
9035,而且码数穿着也挺合适的,1,码数,合适
9036,面料不薄不厚,1,面料,不薄
9037,宝宝很喜欢上面的图案,1,图案,喜欢
9038,买了好多件经典泰迪的衣服了,1,衣服,好
9039,上面的图案也很喜欢,1,图案,喜欢
9040,而且材质非常好很适合嗯,1,材质,好
9041,其他的质量不错,1,质量,不错
9042,摸着手感也很好,1,手感,好
9043,同等价位相比而言性价比高,1,性价比,高
9044,手感非常不错,0,手感,不错
9045,建议购买时比平时大一码,0,建议,购买
9046,卫衣质量超级好,0,质量,好
9047,物流配送也很给力,0,物流,给力
9048,麋鹿图案也太可爱啦,0,图案,可爱
9049,我家宝贝80多厘米穿90码正好,0,宝贝,好
9050,真的挺值得购买,1,购买,值得
9051,真的这个价钱可以买的,0,价钱,可以
9052,火烈鸟印花好看的,0,印花,好看
9053,就是价格上不算特别便宜,0,价格,便宜
9054,服务很算不错的,0,服务,不错
9055,客服的服务也挺好,1,服务,好
9056,线头也要摘干净,1,线头,干净
9057,摸起来手感也挺不错的,1,手感,不错
9058,质量真的是超级好,1,质量,好
9059,快递员的态度很好,1,态度,好
9060,版型不错?,1,版型,不错
9061,小熊图案经典洋气,1,图案,洋气
9062,直接穿的话也不会感觉不舒服,1,感觉,不舒服
9063,物美价廉~粉色的衣服显得很活泼很可爱,0,衣服,物美价廉
9064,穿上身比较合身不会出现偏大偏小的情况,0,上身,合身
9065,值得购买哈,1,购买,值得
9066,物美价廉~红色的衣服显得很活泼很可爱,1,衣服,物美价廉
9067,经典泰迪的衣服还是挺不错的,1,衣服,不错
9068,还是感觉封面的两个经典款不错,1,感觉,不错
9069,衣服买了好久好久了,1,衣服,好
9070,由此可见这个衣服穿起来还是很舒服的,1,衣服,舒服
9071,也喜欢给儿子买这种颜色的,1,颜色,喜欢
9072,一看就是好衣服,0,衣服,好
9073,图案非常漂亮,0,图案,漂亮
9074,包装就很好,1,包装,好
9075,打开衣服特别柔软,1,衣服,柔软
9076,谁知质量却不错,0,质量,不错
9077,质量不错软绵绵的,0,质量,不错
9078,经济划算服务又好,0,服务,好
9079,衣服都挺不错的,0,衣服,不错
9080,这款衣服看照片很不错哦,0,衣服,不错
9081,做活动价格很划算哦,0,价格,划算
9082,很不错的卫衣料子特别细腻,0,料子,不错
9083,质量看上去很不错,0,质量,不错
9084,做活动入性价比超高,0,性价比,高
9085,质量很不错的⊙∀⊙,0,质量,不错
9086,做活动买的价格特价合适,1,价格,合适
9087,价钱合适可以放心购买,1,价钱,可以
9088,成套秋衣就是纯棉品质吧一般情况,0,品质,一般
9089,图案也可爱,1,图案,可爱
9090,做活动买的价格很实惠,1,价格,实惠
9091,感觉蛮好的,1,感觉,好
9092,没想到质量真的很不错哦,1,质量,不错
9093,二十几的价格真的划算,1,价格,划算
9094,宝贝穿上很漂亮很喜欢,0,宝贝,喜欢
9095,价格再优惠一些,1,价格,优惠
9096,买过好几件这个牌子的衣服了,1,衣服,好
9097,没有异味儿,1,异味,没有
9098,为了愉快的购物,1,购物,愉快
9099,这个牌子的衣服不错,1,衣服,不错
9100,"
?*??(^?^*)??*?整体很满意",1,整体,满意
9101,衣服收到了一款漂亮的外衣,1,衣服,漂亮
9102,很满意的一次购物还会继续回购的,1,购物,满意
9103,黄色是孩子最喜欢的颜色,1,颜色,喜欢
9104,图案孩子很喜欢,1,图案,喜欢
9105,颜色很喜欢???,1,颜色,喜欢
9106,小熊图案印的很清晰,0,图案,清晰
9107,冲着质量好来买的,0,质量,好
